Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
,2012,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,127.15,126.8,127.32,127.15,126.4,127.21,127.44,128.07,127.77,127.39,126.35,127.19,-
KOTA LHOKSEUMAWE,134.33,133.86,134.6,134.87,133.67,136.25,136.43,137.36,135.26,134.27,133.09,133.52,-
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,139.59,137.87,137.27,137.75,137.69,140.47,140.63,141.65,140.35,140.41,139.58,140.64,-
KOTA PEMATANG SIANTAR,136.64,135.51,134.98,135.84,135.18,137.59,138.13,138.27,138.94,138.35,137.59,139.13,-
KOTA MEDAN,132.32,131.23,130.89,131.15,131.29,132.77,133.78,133.84,133.81,134.44,134.5,135.15,-
KOTA PADANGSIDIMPUAN,133.26,132.99,132.8,132.5,132.79,134.37,134.62,136.39,135.66,136.03,136.29,137.02,-
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,135.31,134.09,134.67,135.29,134.71,136.35,136.53,138.01,138.75,139.73,138.85,140.15,-
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,131,130.24,130.2,130.47,130.59,131.64,131.8,132.86,132.81,133.19,133.13,133.68,-
KOTA DUMAI,134.59,133.75,133.2,133.64,134.65,134.91,135.71,137.13,137.15,136.88,136.74,138.28,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,134.95,133.21,133.9,133.97,134.91,137.41,137.84,138.42,138.68,138.75,138.26,139.12,-
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,130.13,129.56,129.61,130.25,130.36,131.26,131.87,132.54,132.15,132.69,133.01,133.44,-
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,137.35,136.12,135.95,135.99,136.4,137.82,139.71,142.17,141.97,142.27,141.54,142.35,-
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,142.13,141.98,141.68,142.24,142.48,143.6,144.35,145.97,146.44,146.78,146.35,147.31,-
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,143.64,142.09,142.57,145.08,143.41,143.65,148.2,148.89,149.99,147.96,147.52,148.87,-
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,125.91,125.33,125.58,125.55,125.81,126.38,126.65,126.85,127.2,127.3,126.99,127.82,-
KOTA TANJUNG PINANG,131.45,131.04,130.78,130.4,130.06,130.78,131.49,134.1,134.52,133.06,133.58,134.95,-
DKI JAKARTA,128.41,128.63,128.86,129.03,129.19,129.68,130.39,131.44,131.95,132.65,132.84,133.58,-
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,130.12,130.35,130.16,130.39,130.35,130.69,131.4,134.12,134.66,135.03,134.95,135.16,-
KOTA SUKABUMI,131.44,131.62,131,131.14,131.54,132.41,133.76,134.02,134.12,134.68,134.94,135.21,-
KOTA BANDUNG,125.13,125.07,125.14,125.37,125.08,125.77,127.11,127.94,128.02,128.46,128.33,128.57,-
KOTA CIREBON,135.17,134.84,134.43,134.37,134.51,135.11,137.55,138.27,138.24,138.36,138.53,138.86,-
KOTA BEKASI,129.16,128.98,129.18,129.36,129.31,129.97,131.05,132.43,132.51,132.12,131.96,132.65,-
KOTA DEPOK,128.92,129.05,128.84,129.1,129.61,130.69,131.9,133.5,133.09,132.9,133,133.53,-
KOTA TASIKMALAYA,133.33,133.79,133.39,133.05,132.95,134.12,135.3,136.84,136.49,136.73,136.6,136.9,-
CILACAP,-,-,-,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,128.88,129.6,129.33,129.44,130,130.43,131.53,132.65,132.88,133.26,133.36,134.07,-
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,121.25,121.35,121.69,121.53,121.87,122.91,123.52,124.15,123.44,123.83,124.08,124.45,-
KOTA SEMARANG,128.62,129.09,129.51,129.69,130.16,131.05,132.14,133.8,133.67,133.76,133.74,134.29,-
KOTA TEGAL,131.03,130.76,130.52,130.71,131.41,132.12,132.52,134.28,134.36,134.22,133.73,134.26,-
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,130.44,130.57,131.04,131.18,131.24,132.23,133.24,133.8,134.05,134.56,134.83,135.72,-
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,130.39,130.74,131.12,131.56,131.15,132.21,133.06,134.43,134.39,134.77,134.81,135.86,-
BANYUWANGI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,127.64,128.09,128.25,128.16,128.84,129.81,131.13,133.37,132.62,132.65,132.82,133.43,-
KOTA KEDIRI,129,129.28,129.33,129.4,129.97,130.89,131.78,134.06,134.03,134.05,134.12,134.61,-
KOTA MALANG,130.26,130.49,130.5,130.85,130.92,131.63,132.26,133.64,134.34,134.63,134.94,135.88,-
KOTA PROBOLINGGO,133.44,134.05,133.58,133.98,134.7,135.89,137.01,139.77,139.28,139.55,139.88,140.56,-
