Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2019,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,0.91,-0.71,0.39,0.18,1.33,1.3,0.21,0.2,0.91,0.18,-0.5,-0.19,4.28
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,0.43,-0.54,-0.44,0.36,1.48,0.38,-0.24,0.07,-0.55,0.07,-0.1,0.46,1.38
KOTA LHOKSEUMAWE,0.14,-0.68,-0.45,0.64,0.86,0.3,0.22,-0.54,-0.42,0.53,0.02,0.6,1.2
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,-0.03,-0.7,0.24,1.15,0.67,2.25,1.88,-0.58,-1.94,-0.37,-0.48,0.51,2.58
KOTA PEMATANG SIANTAR,0.01,-0.29,0.27,1.03,0.67,0.91,0.29,-0.4,-1.18,0.01,-0.1,0.34,1.54
KOTA MEDAN,0.22,-0.3,0.32,1.3,1.33,1.68,0.95,0.27,-1.92,-0.34,-0.77,-0.28,2.43
KOTA PADANGSIDIMPUAN,0.46,-0.45,0.25,0.36,0.27,1.79,0.06,0.2,-0.95,0.35,-0.05,-0.13,2.15
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,0.24,-0.44,0.33,0.44,0.86,1.07,0.89,-0.1,-0.95,-0.34,-0.34,0.07,1.72
KOTA BUKITTINGGI,-0.39,-0.49,0.11,0.51,0.78,1.28,0.46,0.24,-1.1,0.02,-0.1,-0.01,1.31
TEMBILAHAN,0.38,-0.56,0.38,1.06,1.29,0.89,0.31,-0.33,-0.28,-0.59,-0.15,-0.02,2.4
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,-0.1,-0.32,0.09,0.51,0.56,1.3,0.91,0.36,-0.23,-0.04,-0.26,-0.22,2.56
KOTA DUMAI,-0.04,-0.32,0.07,0.35,1.05,0.8,0.41,-0.25,-0.79,0.05,-0.12,0.07,1.28
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,0.29,-0.2,0.35,0.45,1.6,1.03,0.15,-0.13,-0.44,-0.18,-0.51,0.21,2.61
KOTA JAMBI,-0.51,-0.29,0.33,0.61,0.38,1.02,0.48,-0.84,-0.24,0.11,-0.16,0.38,1.27
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.14,-0.24,-0.01,0.55,0.38,0.56,0.39,-0.16,-0.16,-0.09,0.3,0.39,2.06
KOTA LUBUKLINGGAU,0.26,-0.4,0.11,0.36,0.88,0.49,0.45,-0.07,-0.31,0.03,0.04,0.25,2.1
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,0.88,-0.28,-0.23,0.54,1.11,0.76,0.56,-0.86,0.64,-0.56,-0.27,0.59,2.91
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.24,-0.33,0.35,0.69,0.81,0.63,0.71,0.12,-0.18,-0.09,0.06,0.47,3.53
KOTA METRO,0.14,-0.04,0.16,0.52,0.49,0.48,0.42,0.41,-0.31,-0.1,0.36,0.4,2.97
TANJUNG PANDAN,1.23,-0.82,0.27,1.14,0.21,-0.41,1.23,-0.35,0.48,0.08,-1.06,1.17,3.19
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,0.93,-0.48,-0.76,0.74,1.78,0.99,-0.41,-0.1,0.09,-0.02,-0.82,0.38,2.31
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,0.08,0.26,-0.01,0.18,1.03,0.24,0.61,-0.86,-0.55,-0.27,-0.01,1.28,1.97
KOTA TANJUNG PINANG,0.46,0.04,-0.28,0.16,0.89,0.32,0.57,-0.38,-0.11,-0.27,-0.17,1.17,2.4
DKI JAKARTA,0.24,0.26,0.14,0.4,0.59,0.47,0.25,0.17,-0.04,0.21,0.19,0.3,3.23
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,0.39,-0.4,0.28,0.5,0.58,0.9,0.14,0.37,-0.48,0.16,0.24,0.3,3.02
KOTA SUKABUMI,0.32,-0.14,0.04,0.46,0.64,0.37,0.28,-0.04,-0.18,-0.04,0.28,0.33,2.33
KOTA BANDUNG,0.09,-0.08,0.03,0.43,0.84,0.1,0.55,0.61,-0.28,-0.13,0.14,0.45,2.78
KOTA CIREBON,0.2,-0.16,0.18,0.27,0.37,0.15,0.24,0.24,-0.24,0.03,0.26,0.44,2
KOTA BEKASI,0.67,0.17,0.01,0.35,1.05,0.35,0.63,0.37,-0.06,-0.08,0.37,0.38,4.28
KOTA DEPOK,0.2,-0.05,0.24,0.49,0.89,1.11,0.05,0.36,-0.25,-0.09,0.13,0.18,3.29
KOTA TASIKMALAYA,0.41,-0.11,0.03,0.21,0.7,0.28,0.19,0.04,-0.38,-0.07,0.07,0.33,1.72
CILACAP,0.33,-0.25,0.32,0.26,0.19,0.75,0.14,0.33,-0.46,-0.07,0.16,0.5,2.19
PURWOKERTO,0.16,-0.26,0.19,0.21,0.48,0.54,0.45,0.42,-0.5,-0.08,0.15,0.51,2.28
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
