"Inflasi Umum , Inti, Harga Diatur Pemerintah, dan Bergejolak Nasional (M-to-M dan Y-to-D)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tahun/Bulan,,Umum,Inti,Harga-Diatur Pemerintah,Bergejolak,,,,,,,,,,,
2026,,1.06,1.16,0.66,1.18,,,,,,,,,,,
,April,0.13,0.23,0.69,-0.88,,,,,,,,,,,
,Maret,0.41,0.31,1.58,0.13,,,,,,,,,,,
,Februari,0.68,0.42,-0.03,2.50,,,,,,,,,,,
,Januari,-0.15,0.37,-0.32,-1.96,,,,,,,,,,,
2025,,2.92,2.38,1.93,6.21,,,,,,,,,,,
,Desember,0.64,0.20,0.37,2.74,,,,,,,,,,,
,November,0.17,0.17,0.24,0.02,,,,,,,,,,,
,Oktober,0.28,0.39,0.10,0.03,,,,,,,,,,,
,September,0.21,0.18,0.06,0.52,,,,,,,,,,,
,Agustus,-0.08,0.06,-0.08,-0.61,,,,,,,,,,,
,Juli,0.30,0.13,0.09,1.25,,,,,,,,,,,
,Juni,0.19,0.07,0.09,0.77,,,,,,,,,,,
,Mei,-0.37,0.08,-0.02,-2.48,,,,,,,,,,,
,April,1.17,0.31,5.21,-0.04,,,,,,,,,,,
,Maret,1.65,0.24,6.53,1.96,,,,,,,,,,,
,Februari,-0.48,0.25,-2.65,-0.93,,,,,,,,,,,
,Januari,-0.76,0.30,-7.38,2.95,,,,,,,,,,,
2024,,1.57,2.26,0.56,0.12,,,,,,,,,,,
,Desember,0.44,0.17,0.03,2.04,,,,,,,,,,,
,November,0.30,0.17,0.12,1.07,,,,,,,,,,,
,Oktober,0.08,0.22,-0.25,-0.11,,,,,,,,,,,
,September,-0.12,0.16,-0.04,-1.34,,,,,,,,,,,
,Agustus,-0.03,0.20,0.23,-1.24,,,,,,,,,,,
,Juli,-0.18,0.18,0.11,-1.92,,,,,,,,,,,
,Juni,-0.08,0.10,0.12,-0.98,,,,,,,,,,,
,Mei,-0.03,0.17,-0.13,-0.69,,,,,,,,,,,
,April,0.25,0.29,0.62,-0.31,,,,,,,,,,,
,Maret,0.52,0.23,0.08,2.16,,,,,,,,,,,
,Februari,0.37,0.14,0.15,1.53,,,,,,,,,,,
,Januari,0.04,0.20,-0.48,0.01,,,,,,,,,,,
2023,,2.61,1.80,1.72,6.73,,,,,,,,,,,
,Desember,0.41,0.14,0.39,1.42,,,,,,,,,,,
,November,0.38,0.12,0.08,1.72,,,,,,,,,,,
,Oktober,0.17,0.08,0.46,0.21,,,,,,,,,,,
,September,0.19,0.12,0.23,0.37,,,,,,,,,,,
,Agustus,-0.02,0.13,-0.02,-0.51,,,,,,,,,,,
,Juli,0.21,0.13,0.44,0.17,,,,,,,,,,,
,Juni,0.14,0.12,-0.02,0.44,,,,,,,,,,,
,Mei,0.09,0.06,-0.25,0.49,,,,,,,,,,,
,April,0.33,0.25,0.69,0.29,,,,,,,,,,,
,Maret,0.18,0.16,0.12,0.29,,,,,,,,,,,
,Februari,0.16,0.13,0.14,0.28,,,,,,,,,,,
,Januari,0.34,0.33,-0.55,1.40,,,,,,,,,,,
2022,,5.51,3.36,13.34,5.61,,,,,,,,,,,
,Desember,0.66,0.22,0.73,2.24,,,,,,,,,,,
,November,0.09,0.15,0.14,-0.22,,,,,,,,,,,
,Oktober,-0.11,0.16,0.33,-1.62,,,,,,,,,,,
,September,1.17,0.30,6.18,-0.79,,,,,,,,,,,
,Agustus,-0.21,0.38,0.33,-2.90,,,,,,,,,,,
,Juli,0.64,0.28,1.17,1.41,,,,,,,,,,,
,Juni,0.61,0.19,0.27,2.51,,,,,,,,,,,
,Mei,0.40,0.23,0.48,0.94,,,,,,,,,,,
,April,0.95,0.36,1.83,2.30,,,,,,,,,,,
,Maret,0.08,-0.03,0.02,0.56,,,,,,,,,,,
,Februari,-0.02,0.31,0.18,-1.50,,,,,,,,,,,
,Januari,0.56,0.42,0.38,1.30,,,,,,,,,,,
2021,,1.87,1.56,1.79,3.20,,,,,,,,,,,
,Desember,0.57,0.16,0.45,2.32,,,,,,,,,,,
,November,0.37,0.17,0.37,1.19,,,,,,,,,,,
,Oktober,0.12,0.07,0.33,0.07,,,,,,,,,,,
,September,-0.04,0.13,0.14,-0.88,,,,,,,,,,,
,Agustus,0.03,0.21,0.02,-0.64,,,,,,,,,,,
,Juli,0.08,0.07,0.05,0.14,,,,,,,,,,,
,Juni,-0.16,0.14,-0.21,-1.23,,,,,,,,,,,
,Mei,0.32,0.24,0.48,0.39,,,,,,,,,,,
,April,0.13,0.14,0.11,0.15,,,,,,,,,,,
,Maret,0.08,-0.03,0.02,0.56,,,,,,,,,,,
,Februari,0.10,0.11,0.21,-0.01,,,,,,,,,,,
,Januari,0.26,0.14,-0.19,1.15,,,,,,,,,,,
2020,,1.68,1.60,0.25,3.62,,,,,,,,,,,
,Desember,0.45,0.05,0.35,2.17,,,,,,,,,,,
