38 Provinsi,,
,[Seri 2010] Produk Domestik Regional Bruto Per Kapita (Ribu Rupiah),
,Harga Berlaku,Harga Konstan 2010
,2016,2016
ACEH,26851.88,22835.29
SUMATERA UTARA,44392.46,32885.09
SUMATERA BARAT,37284.56,28164.93
RIAU,104861.11,70569.36
JAMBI,49494.98,37728.8
SUMATERA SELATAN,43361.26,32699.5
BENGKULU,29076.22,21039.84
LAMPUNG,34053.97,25568.57
KEP. BANGKA BELITUNG,46402.47,34132.87
KEP. RIAU,106503.78,80295.6
DKI JAKARTA,210075.09,149831.9
JAWA BARAT,34893.62,26923.51
JAWA TENGAH,31961.95,24959.49
DI YOGYAKARTA,29552.53,23565.68
JAWA TIMUR,47491.52,35970.78
BANTEN,42439.73,31781.56
BALI,46211.04,32689.09
NUSA TENGGARA BARAT,23786.95,19305.79
NUSA TENGGARA TIMUR,16093.51,11468.79
KALIMANTAN BARAT,33190.65,24308.85
KALIMANTAN TENGAH,43905.33,32899.58
KALIMANTAN SELATAN,36022.98,28540.05
KALIMANTAN TIMUR,145343.19,125385.5
KALIMANTAN UTARA,99112.33,76635.46
SULAWESI UTARA,41246.25,30679.97
SULAWESI TENGAH,41082.04,31151.08
SULAWESI SELATAN,43817.39,31302.53
SULAWESI TENGGARA,38022.13,30476.39
GORONTALO,27544.77,20427.46
SULAWESI BARAT,27513.06,21067.91
MALUKU,21599.17,15321.18
MALUKU UTARA,24580.75,18177.3
PAPUA BARAT,74584.63,61242.01
PAPUA BARAT DAYA,-,-
PAPUA,54002.15,44342.14
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,47937.72,36468.62
