Provinsi,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Jumlah
Aceh,643591.4,494227.92,1137819.32
Sumatera Utara,607811.56,534905.1,1142716.66
Sumatera Barat,668029.07,613628.96,1281658.04
Riau,672142.73,670527.59,1342670.32
Jambi,613752.76,566507,1180259.76
Sumatera Selatan,579031.72,517375.56,1096407.27
Bengkulu,580273.31,558299.08,1138572.4
Lampung,539963.55,490615.03,1030578.58
Kepulauan Bangka Belitung,783203.97,748970.15,1532174.12
Kepulauan Riau,828206.18,1027089.42,1855295.6
DKI Jakarta,923932.8,1412496.63,2336429.43
Jawa Barat,677382.61,695276.49,1372659.1
Jawa Tengah,519009.15,529599.86,1048609
DI Yogyakarta,594622.24,823248.11,1417870.35
Jawa Timur,557790.8,555211.15,1113001.95
Banten,744893.26,766363.4,1511256.67
Bali,628472.06,840152.05,1468624.11
Nusa Tenggara Barat,637897.8,559650.1,1197547.9
Nusa Tenggara Timur,468252.17,372106.44,840358.61
Kalimantan Barat,603291.38,559766.88,1163058.26
Kalimantan Tengah,713144.53,682681.29,1395825.82
Kalimantan Selatan,701228,682572.4,1383800.41
Kalimantan Timur,736465.16,982145.65,1718610.81
Kalimantan Utara,742833.93,811875.93,1554709.86
Sulawesi Utara,612971.86,598707.81,1211679.67
Sulawesi Tengah,512309.16,539396.49,1051705.66
Sulawesi Selatan,533482.09,570614.67,1104096.77
Sulawesi Tenggara,509723.28,560769.94,1070493.21
Gorontalo,529729.27,616060.84,1145790.12
Sulawesi Barat,453030.94,439349.35,892380.3
Maluku,536326.5,576419.33,1112745.83
Maluku Utara,556903.28,572438.1,1129341.37
Papua Barat,698303.14,749177.85,1447480.99
Papua,792780.9,575598.21,1368379.11
Indonesia,622845.47,641744.27,1264589.74
