Provinsi,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Jumlah
Aceh,559300,434134,993433
Sumatera Utara,576323,487641,1063964
Sumatera Barat,609258,555621,1164879
Riau,621748,611498,1233245
Jambi,560542,508445,1068987
Sumatera Selatan,498929,459890,958819
Bengkulu,542423,553927,1096350
Lampung,484800,444224,929024
Kepulauan Bangka Belitung,751641,758333,1509974
Kepulauan Riau,789057,989093,1778150
DKI Jakarta,877449,1278664,2156112
Jawa Barat,629741,637136,1266877
Jawa Tengah,469421,486982,956403
DI Yogyakarta,546445,793281,1339726
Jawa Timur,502892,533285,1036177
Banten,702322,724060,1426382
Bali,609181,777972,1387154
Nusa Tenggara Barat,539864,489587,1029451
Nusa Tenggara Timur,429498,321195,750693
Kalimantan Barat,561142,519227,1080370
Kalimantan Tengah,650759,636442,1287201
Kalimantan Selatan,628902,621460,1250362
Kalimantan Timur,724423,893217,1617640
Kalimantan Utara,717752,738195,1455947
Sulawesi Utara,568055,582728,1150783
Sulawesi Tengah,505608,478032,983641
Sulawesi Selatan,487934,534484,1022418
Sulawesi Tenggara,475215,546075,1021290
Gorontalo,452958,549906,1002864
Sulawesi Barat,445427,395586,841013
Maluku,507218,495021,1002239
Maluku Utara,514251,511839,1026090
Papua Barat,667673,700837,1368510
Papua,665292,549427,1214718
Indonesia,572551,592690,1165241
