Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Aceh,6.3,6.3,65.14,63.78
Sumatera Utara,6.01,6.33,69.39,69.1
Sumatera Barat,6.67,6.52,68.41,67.72
Riau,4.96,4.42,65.81,65.03
Jambi,4.76,5.09,67.3,67.17
Sumatera Selatan,5.17,4.98,69.95,68.77
Bengkulu,3.72,3.65,71.74,69.75
Lampung,4.54,4.69,71.73,69.35
Kepulauan Bangka Belitung,5.04,5.03,67.99,65.88
Kepulauan Riau,10.12,9.91,66.39,68.27
DKI Jakarta,8.51,8.5,65.12,62.63
Jawa Barat,8.92,9.82,64.83,64.95
Jawa Tengah,5.96,5.95,69.38,69.58
DI Yogyakarta,4.28,4.56,72.81,73.52
Jawa Timur,5.17,5.74,69.75,70
Banten,9.01,8.98,64.28,63.79
Bali,5.42,5.37,73.71,73.54
Nusa Tenggara Barat,3.97,3.01,71.32,70.57
Nusa Tenggara Timur,3.38,3.77,73.29,73.78
Kalimantan Barat,5.73,5.82,70.38,68.45
Kalimantan Tengah,4.25,4.53,69.44,68.67
Kalimantan Selatan,4.33,4.95,69.08,69.26
Kalimantan Timur,6.81,6.83,67.46,65.49
Kalimantan Utara,4.67,4.58,66.17,66.24
Sulawesi Utara,7.28,7.06,63.28,62.15
Sulawesi Tengah,3.73,3.75,68.93,68.73
Sulawesi Selatan,5.79,5.72,65.36,64.73
Sulawesi Tenggara,4.22,3.92,70.76,70.09
Gorontalo,3.41,3.01,67.37,65.94
Sulawesi Barat,3.28,3.13,71.71,70.27
Maluku,6.73,6.93,64.4,65.75
Maluku Utara,5.06,4.71,64.31,64.7
Papua Barat,6.18,5.84,68.11,70.34
Papua,3.77,3.33,73.47,78.29
Indonesia,6.26,6.49,68.08,67.8
,,,,
Catatan,,,,
<sup>1</sup>Menggunakan penimbang hasil proyeksi penduduk SUPAS 2015/Uses a weighting of the population projection results from SUPAS 2015,,,,
