Provinsi di Indonesia,
,Upah Minimum Provinsi (UMP) per Bulan Menurut Provinsi di Indonesia (rupiah)
,2025
Aceh,3685616
Sumatera Utara,2992559
Sumatera Barat,2994193
Riau,3508776
Jambi,3234535
Sumatera Selatan,3681571
Bengkulu,2670039
Lampung,2893070
Kepulauan Bangka Belitung,3876600
Kepulauan Riau,3623654
DKI Jakarta,5396761
Jawa Barat,2191232
Jawa Tengah,2169349
DI Yogyakarta,2264081
Jawa Timur,2305985
Banten,2905120
Bali,2996561
Nusa Tenggara Barat,2602931
Nusa Tenggara Timur,2328970
Kalimantan Barat,2878286
Kalimantan Tengah,3473621
Kalimantan Selatan,3496195
Kalimantan Timur,3579314
Kalimantan Utara,3580160
Sulawesi Utara,3775425
Sulawesi Tengah,2915000
Sulawesi Selatan,3657527
Sulawesi Tenggara,3073552
Gorontalo,3221731
Sulawesi Barat,3104430
Maluku,3141700
Maluku Utara,3408000
Papua Barat,3615000
Papua Barat Daya,3614000
Papua,4285850
Papua Selatan,4285850
Papua Tengah,4285848
Papua Pegunungan,-
