Provinsi,Tahun,Pengeluaran_Makanan,Pengeluaran_Bukan_Makanan,Total_Pengeluaran,UMP,TPT,TPAK,PDRB_HargaBerlaku,PDRB_HargaKonstan,Pct_Penduduk_Miskin,Inflasi_Rata_Tahunan
Aceh,2021,643591.4,494227.92,1137819.32,3165031.0,6.3,64.46,34673.56,25356.45,15.33,0.155
Bali,2021,628472.06,840152.05,1468624.11,2494000.0,5.395,73.625,50758.32,33123.79,4.53,0.155
Banten,2021,744893.26,766363.4,1511256.67,2460997.0,8.995,64.035,55383.29,38339.42,6.66,0.155
Bengkulu,2021,580273.31,558299.08,1138572.4,2215000.0,3.685,70.745,39167.13,23545.64,15.22,0.155
DI Yogyakarta,2021,594622.24,823248.11,1417870.35,1765000.0,4.42,73.165,40516.0,29115.86,12.8,0.155
DKI Jakarta,2021,923932.8,1412496.63,2336429.43,4416187.0,8.505,63.875,274659.62,175004.64,4.72,0.155
Gorontalo,2021,529729.27,616060.84,1145790.12,2788826.0,3.21,66.655,37086.76,24594.17,15.61,0.155
Jambi,2021,613752.76,566507.0,1180259.76,2630162.0,4.925,67.235,64770.93,42898.41,8.09,0.155
Jawa Barat,2021,677382.61,695276.49,1372659.1,1810351.0,9.37,64.89,45234.18,30935.23,8.4,0.155
Jawa Tengah,2021,519009.15,529599.86,1048609.0,1798979.0,5.955,69.48,38568.08,27092.91,11.79,0.155
Jawa Timur,2021,557790.8,555211.15,1113001.95,1868777.0,5.455,69.875,59988.44,40779.82,11.4,0.155
Kalimantan Barat,2021,603291.38,559766.88,1163058.26,2399699.0,5.775,69.415,42252.66,25793.51,7.15,0.155
Kalimantan Selatan,2021,701228.0,682572.4,1383800.41,2877449.0,4.64,69.17,48065.95,32894.85,4.83,0.155
Kalimantan Tengah,2021,713144.53,682681.29,1395825.82,2903145.0,4.39,69.055,62833.77,37955.03,5.16,0.155
Kalimantan Timur,2021,736465.16,982145.65,1718610.81,2981379.0,6.82,66.475,183157.52,127368.07,6.54,0.155
Kalimantan Utara,2021,742833.93,811875.93,1554709.86,3000804.0,4.625,66.205,157091.68,88973.51,7.36,0.155
Kepulauan Bangka Belitung,2021,783203.97,748970.15,1532174.12,3230024.0,5.035,66.935,58406.07,37620.69,4.9,0.155
Kepulauan Riau,2021,828206.18,1027089.42,1855295.6,3005460.0,10.015,67.33,131883.84,86584.63,6.12,0.155
Lampung,2021,539963.55,490615.03,1030578.58,2432002.0,4.615,70.54,40806.71,27149.57,12.62,0.155
Maluku,2021,536326.5,576419.33,1112745.83,2604961.0,6.83,65.075,26153.05,17053.15,17.87,0.155
Maluku Utara,2021,556903.28,572438.1,1129341.37,2721530.0,4.885,64.505,40381.06,25190.72,6.89,0.155
Nusa Tenggara Barat,2021,637897.8,559650.1,1197547.9,2183883.0,3.49,70.945,26009.17,17715.84,14.14,0.155
Nusa Tenggara Timur,2021,468252.17,372106.44,840358.61,1950000.0,3.575,73.535,20554.99,13076.68,20.99,0.155
Papua,2021,792780.9,575598.21,1368379.11,3516700.0,3.55,75.88,54050.61,36420.15,26.86,0.155
Papua Barat,2021,698303.14,749177.85,1447480.99,3134600.0,6.01,69.225,74021.65,53324.2,21.84,0.155
Riau,2021,672142.73,670527.59,1342670.32,2888564.0,4.69,65.42,129740.71,78319.23,7.12,0.155
Sulawesi Barat,2021,453030.94,439349.35,892380.3,2678863.0,3.205,70.99,35195.14,22898.21,11.29,0.155
Sulawesi Selatan,2021,533482.09,570614.67,1104096.77,3165876.0,5.755,65.045,59502.64,37501.45,8.78,0.155
Sulawesi Tengah,2021,512309.16,539396.49,1051705.66,2303711.0,3.74,68.83,82016.81,49690.23,13.0,0.155
Sulawesi Tenggara,2021,509723.28,560769.94,1070493.21,2552015.0,4.07,70.425,52436.02,36570.47,11.66,0.155
Sulawesi Utara,2021,612971.86,598707.81,1211679.67,3310723.0,7.17,62.715,54034.12,34776.43,7.77,0.155
Sumatera Barat,2021,668029.07,613628.96,1281658.04,2484041.0,6.595,68.065,45218.16,31264.98,6.63,0.155
Sumatera Selatan,2021,579031.72,517375.56,1096407.27,3144446.0,5.075,69.36,57744.67,38182.24,12.84,0.155
Sumatera Utara,2021,607811.56,534905.1,1142716.66,2499423.0,6.17,69.245,57441.93,36582.07,9.01,0.155
Aceh,2022,668480.98,511651.95,1180132.93,3166460.0,6.07,63.825,38767.08,26061.53,14.64,0.45
Bali,2022,609855.33,832754.43,1442609.77,2516971.0,4.82,77.0,56092.96,34481.06,4.57,0.45
Banten,2022,830110.79,789460.92,1619571.71,2501203.0,8.31,64.9,61413.54,39790.24,6.16,0.45
Bengkulu,2022,626208.94,570274.83,1196483.76,2238094.0,3.49,70.65,43756.98,24238.47,14.62,0.45
DI Yogyakarta,2022,628844.56,851529.72,1480374.28,1840916.0,3.895,73.64,44638.79,30410.57,11.34,0.45
DKI Jakarta,2022,953320.89,1572026.48,2525347.37,4641854.0,7.59,62.675,299674.73,183598.47,4.69,0.45
Gorontalo,2022,534461.48,608535.25,1142996.73,2800580.0,2.915,68.345,39690.94,25268.51,15.42,0.45
Jambi,2022,663020.58,598816.2,1261836.78,2698941.0,4.645,68.35,76224.16,44515.14,7.62,0.45
Jawa Barat,2022,708389.69,729004.43,1437394.12,1841487.0,8.33,66.23,49136.9,32246.78,8.06,0.45
Jawa Tengah,2022,572808.11,548985.75,1121793.86,1812935.0,5.66,71.44,41934.46,28248.16,10.93,0.45
Jawa Timur,2022,600847.63,564290.28,1165137.91,1891567.0,5.15,71.11,66248.49,42635.84,10.38,0.45
Kalimantan Barat,2022,666065.89,566552.33,1232618.22,2434328.0,4.985,69.355,46092.06,26734.57,6.73,0.45
Kalimantan Selatan,2022,727960.88,679758.06,1407718.94,2906473.0,4.47,68.595,60213.03,34132.71,4.49,0.45
Kalimantan Tengah,2022,762633.94,679661.3,1442295.24,2922516.0,4.23,67.085,72973.14,39856.48,5.28,0.45
Kalimantan Timur,2022,813447.68,984037.85,1797485.53,3014497.0,6.24,65.475,238916.99,131238.63,6.31,0.45
Kalimantan Utara,2022,758431.1,811754.88,1570185.98,3016738.0,4.475,66.07,192588.32,92392.97,6.77,0.45
Kepulauan Bangka Belitung,2022,881622.45,772658.08,1654280.53,3264884.0,4.475,68.77,63865.51,38743.13,4.45,0.45
Kepulauan Riau,2022,846221.75,985478.65,1831700.4,3050172.0,8.125,67.71,145530.48,89612.57,6.24,0.45
Lampung,2022,575672.68,499314.76,1074987.43,2440486.0,4.415,71.285,44982.4,27973.81,11.57,0.45
Maluku,2022,589485.16,580343.17,1169828.33,2619313.0,6.66,64.27,28536.54,17717.1,15.97,0.45
Maluku Utara,2022,585162.43,543423.92,1128586.35,2862231.0,4.48,65.795,53776.27,30526.49,6.23,0.45
Nusa Tenggara Barat,2022,666966.05,493696.03,1160662.07,2207212.0,3.405,70.59,28670.72,18647.1,13.68,0.45
Nusa Tenggara Timur,2022,480749.17,403352.91,884102.08,1975000.0,3.42,74.445,21657.61,13264.15,20.05,0.45
Papua,2022,858106.47,596214.24,1454320.71,3561932.0,3.215,78.99,59383.62,39112.71,26.56,0.45
Papua Barat,2022,723854.71,724650.68,1448505.39,3200000.0,5.575,69.07,78141.31,53517.07,21.33,0.45
Riau,2022,730825.57,694345.29,1425170.86,2938564.0,4.385,64.92,151258.97,80773.87,6.78,0.45
Sulawesi Barat,2022,491876.25,464029.03,955905.28,2678863.0,2.725,70.95,37033.82,23060.66,11.75,0.45
Sulawesi Selatan,2022,566223.75,576387.95,1142611.7,3165876.0,5.13,66.015,65353.29,38975.18,8.63,0.45
Sulawesi Tengah,2022,561738.97,521939.99,1083678.96,2390739.0,3.335,70.425,106068.47,56577.06,12.33,0.45
Sulawesi Tenggara,2022,535048.46,576546.85,1111595.3,2576017.0,3.61,67.565,58714.73,37956.13,11.17,0.45
Sulawesi Utara,2022,674114.08,562591.43,1236705.51,3310723.0,6.56,62.525,59020.57,36368.64,7.28,0.45
Sumatera Barat,2022,716261.97,626723.54,1342985.51,2512539.0,6.225,68.65,50263.83,32166.76,5.92,0.45
Sumatera Selatan,2022,620732.28,528080.19,1148812.47,3144446.0,4.685,69.32,68238.87,39723.97,11.9,0.45
Sumatera Utara,2022,663926.75,552569.9,1216496.65,2522610.0,5.815,69.99,62922.26,37780.55,8.42,0.45
Aceh,2023,702547.0,523429.0,1225976.0,3413666.0,5.89,64.945,41407.6,26800.14,14.45,0.215
Bali,2023,729755.0,1011768.0,1741523.0,2713672.0,3.21,77.135,62299.21,36206.81,4.25,0.215
Banten,2023,847452.0,896235.0,1743687.0,2661280.0,7.745,65.19,66147.2,41228.21,6.17,0.215
Bengkulu,2023,679166.0,653392.0,1332558.0,2418280.0,3.315,71.815,46300.51,24952.76,14.04,0.215
DI Yogyakarta,2023,722132.0,1009428.0,1731560.0,1981782.0,3.635,73.755,48373.32,31747.86,11.04,0.215
DKI Jakarta,2023,1055896.0,1735820.0,2791716.0,4901798.0,7.05,64.14,322650.58,192134.11,4.44,0.215
