Tanggal,Inflasi_MoM,IHK,BI_Rate,USD_IDR,Inflasi_Umum_MoM,Inflasi_Inti_MoM,Inflasi_HargaDiatur_MoM,Inflasi_Bergejolak_MoM,Harga_Minyak_USD,Bulan,Tahun
2005-01-01,1.43,118.53,7.32,9165.0,,,,,42.97,1,2005
2005-02-01,-0.17,118.33,7.15,9264.5,,,,,44.82,2,2005
2005-03-01,1.91,120.59,8.81,9471.0,,,,,50.94,3,2005
2005-04-01,0.34,121.0,8.12,9570.0,,,,,50.64,4,2005
2005-05-01,0.21,121.25,7.4,9518.0,,,,,47.83,5,2005
2005-06-01,0.5,121.86,7.42,9760.0,,,,,53.89,6,2005
2005-07-01,0.78,122.81,7.84,9805.0,,,,,56.37,7,2005
2005-08-01,0.55,123.48,8.33,10300.0,,,,,61.89,8,2005
2005-09-01,0.69,124.33,9.06,10300.0,,,,,61.69,9,2005
2005-10-01,8.7,135.15,17.89,10122.5,,,,,58.19,10,2005
2005-11-01,1.31,136.92,18.38,10025.0,,,,,55.04,11,2005
2005-12-01,-0.04,136.86,17.11,9830.0,,,,,56.43,12,2005
2006-01-01,1.36,138.72,17.03,9370.0,,,,,62.46,1,2006
2006-02-01,0.58,139.53,17.92,9182.5,,,,,59.7,2,2006
2006-03-01,0.03,139.57,15.74,9087.0,,,,,60.93,3,2006
2006-04-01,0.05,139.64,15.4,8785.0,,,,,67.97,4,2006
2006-05-01,0.37,140.16,15.6,9255.0,,,,,68.68,5,2006
2006-06-01,0.45,140.79,15.53,9263.0,,,,,68.29,6,2006
2006-07-01,0.45,141.42,15.15,9095.0,,,,,72.45,7,2006
2006-08-01,0.33,141.88,14.9,9117.0,,,,,71.81,8,2006
2006-09-01,0.38,142.42,14.55,9205.0,,,,,62.12,9,2006
2006-10-01,0.86,143.65,6.29,9094.0,,,,,57.91,10,2006
2006-11-01,0.34,144.14,5.27,9165.0,,,,,58.14,11,2006
2006-12-01,1.21,145.89,6.6,8993.5,,,,,60.99,12,2006
2007-01-01,1.04,147.41,6.26,9100.0,,,,,53.52,1,2007
2007-02-01,0.62,148.32,6.3,9131.5,,,,,57.56,2,2007
2007-03-01,0.24,148.67,6.52,9120.0,,,,,60.6,3,2007
2007-04-01,-0.16,148.43,6.29,9088.0,,,,,65.06,4,2007
2007-05-01,0.1,148.58,6.01,8827.0,,,,,65.16,5,2007
2007-06-01,0.23,148.92,5.77,9035.0,,,,,68.19,6,2007
2007-07-01,0.72,149.99,6.06,9225.0,,,,,73.6,7,2007
2007-08-01,0.75,151.11,6.51,9390.0,,,,,70.13,8,2007
2007-09-01,0.8,152.32,6.95,9145.0,,,,,76.76,9,2007
2007-10-01,0.79,153.53,6.88,9097.5,,,,,81.97,10,2007
2007-11-01,0.18,153.81,6.71,9370.0,,,,,91.34,11,2007
2007-12-01,1.1,155.5,6.59,9392.5,,,,,89.52,12,2007
2008-01-01,1.77,158.26,7.36,9246.5,,,,,90.69,1,2008
2008-02-01,0.65,159.29,7.4,9065.0,,,,,93.39,2,2008
2008-03-01,0.95,160.81,8.17,9215.0,,,,,101.84,3,2008
2008-04-01,0.57,161.73,8.96,9222.0,,,,,108.76,4,2008
2008-05-01,1.41,164.01,10.38,9315.0,,,,,122.63,5,2008
2008-06-01,2.46,110.08,11.03,9220.0,,,,,131.52,6,2008
2008-07-01,1.37,111.59,11.9,9095.0,,,,,132.83,7,2008
2008-08-01,0.51,112.16,11.85,9150.0,,,,,114.57,8,2008
2008-09-01,0.97,113.25,12.14,9415.0,,,,,99.66,9,2008
2008-10-01,0.45,113.76,11.77,10900.0,,,,,72.69,10,2008
2008-11-01,0.12,113.9,11.68,12025.0,,,,,53.97,11,2008
2008-12-01,-0.04,113.86,11.06,10900.0,,,,,41.34,12,2008
2009-01-01,-0.07,113.78,9.17,11380.0,-0.07,0.44,-2.67,0.79,43.86,1,2009
2009-02-01,0.21,114.02,8.6,11980.0,0.21,0.68,-2.2,0.98,41.84,2,2009
2009-03-01,0.22,114.27,7.92,11555.0,0.22,0.46,0.04,-0.4,46.65,3,2009
2009-04-01,-0.31,113.92,7.31,10585.0,-0.31,-0.04,0.14,-1.53,50.28,4,2009
2009-05-01,0.04,113.97,6.04,10290.0,0.04,0.13,0.04,-0.27,58.15,5,2009
2009-06-01,0.11,114.1,3.65,10207.5,0.11,0.2,0.09,-0.23,69.15,6,2009
2009-07-01,0.45,114.61,2.71,9925.0,0.45,0.31,0.13,1.22,64.67,7,2009
2009-08-01,0.56,115.25,2.75,10080.0,0.56,0.43,0.2,1.41,71.63,8,2009
2009-09-01,1.05,116.46,2.83,9645.0,1.05,0.8,0.29,2.67,68.35,9,2009
2009-10-01,0.19,116.68,2.57,9550.0,0.19,0.2,-0.01,0.35,74.08,10,2009
2009-11-01,-0.03,116.65,2.41,9455.0,-0.03,0.18,0.11,-0.85,77.55,11,2009
