Provinsi,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Aceh,150947 (r),838 (r),62980 (r),1819468 (r),2034233 (r)
Sumatera Utara,612923 (r),5383 (r),250037 (r),5468662 (r),6337005 (r)
Sumatera Barat,252002 (r),3855 (r),125415 (r),1886532 (r),2267804 (r)
Riau,309317 (r),4881 (r),180241 (r),3024639 (r),3519078 (r)
Jambi,150403 (r),34918 (r),125630 (r),1846359 (r),2157310 (r)
Sumatera Selatan,340912 (r),6209 (r),301826 (r),2827944 (r),3476891 (r)
Bengkulu,99776 (r),791 (r),45482 (r),831683 (r),977732 (r)
Lampung,257972 (r),2888 (r),163821 (r),3058479 (r),3483160 (r)
Kepulauan Bangka Belitung,73935 (r),1145 (r),42657 (r),880343 (r),998080 (r)
Kepulauan Riau,127057 (r),1992 (r),25081 (r),771041 (r),925171 (r)
DKI Jakarta,3082616 (r),33419 (r),631156 (r),15037359 (r),18784550 (r)
Jawa Barat,3534784 (r),19443 (r),360243 (r),10899031 (r),14813501 (r)
Jawa Tengah,1290630 (r),32435 (r),545491 (r),15069428 (r),16937984 (r)
DI Yogyakarta,344084 (r),3386 (r),56549 (r),2321234 (r),2725253 (r)
Jawa Timur,1759758 (r),33255 (r),696708 (r),18016051 (r),20505772 (r)
Banten,209212 (r),3254 (r),70098 (r),1991810 (r),2274374 (r)
Bali,435965 (r),9163 (r),145927 (r),3540179 (r),4131234 (r)
Nusa Tenggara Barat,92383 (r),2532 (r),67876 (r),1507783 (r),1670574 (r)
Nusa Tenggara Timur,55653 (r),3608 (r),43383 (r),729159 (r),831803 (r)
Kalimantan Barat,129570 (r),1506 (r),88790 (r),2172674 (r),2392540 (r)
Kalimantan Tengah,81390 (r),1362 (r),60218 (r),1115875 (r),1258845 (r)
Kalimantan Selatan,204026 (r),2727 (r),127035 (r),2096012 (r),2429800 (r)
Kalimantan Timur,246027 (r),5666 (r),170876 (r),2432491 (r),2855060 (r)
Kalimantan Utara,18195 (r),241 (r),13722 (r),282621 (r),314779 (r)
Sulawesi Utara,107540 (r),1306 (r),60195 (r),683148 (r),852189 (r)
Sulawesi Tengah,79646 (r),896 (r),45369 (r),974838 (r),1100749 (r)
Sulawesi Selatan,468127 (r),3481 (r),171787 (r),3228969 (r),3872364 (r)
Sulawesi Tenggara,172099 (r),425 (r),31501 (r),619640 (r),823665 (r)
Gorontalo,30660 (r),318 (r),22767 (r),332702 (r),386447 (r)
Sulawesi Barat,17184 (r),25 (r),10070 (r),284946 (r),312225 (r)
Maluku,22029 (r),426 (r),12185 (r),239995 (r),274635 (r)
Maluku Utara,17415 (r),105 (r),10456 (r),218231 (r),246207 (r)
Papua Barat,33043 (r),313 (r),15507 (r),262442 (r),311305 (r)
Papua,30826 (r),819 (r),23099 (r),365217 (r),419961 (r)
Indonesia,14838106 (r),223011 (r),4804178 (r),106836985 (r),126702280 (r)
