Provinsi,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Aceh,174453,1197,70347,2180812,2426809
Sumatera Utara,730264,6102,284260,6318408,7339034
Sumatera Barat,285254,4229,138873,2228335,2656691
Riau,380764,5423,217343,3627077,4230607
Jambi,182176,35108,142349,2213171,2572804
Sumatera Selatan,409464,6557,331641,3271433,4019095
Bengkulu,110743,854,51297,964276,1127170
Lampung,299817,3056,185076,3433426,3921375
Kepulauan Bangka Belitung,85621,1195,47399,1025876,1160091
Kepulauan Riau,159694,2157,28450,947219,1137520
DKI Jakarta,3772850,37854,753241,17347866,21911811
Jawa Barat,3803808,21997,433001,13341328,17600134
Jawa Tengah,1450700,34779,605671,17443730,19534880
DI Yogyakarta,377930,3883,64732,2665625,3112170
Jawa Timur,2039556,36861,778503,20750505,23605425
Banten,263103,3666,87271,2508475,2862515
Bali,479690,9521,158331,3978552,4626094
Nusa Tenggara Barat,103331,2666,77531,1823857,2007385
Nusa Tenggara Timur,61325,3745,51532,877060,993662
Kalimantan Barat,165951,1623,109347,2627031,2903952
Kalimantan Tengah,104914,1580,76792,1369862,1553148
Kalimantan Selatan,242522,3312,146367,2489139,2881340
Kalimantan Timur,300897,6822,203929,2841342,3352990
Kalimantan Utara,14846,124,9572,164549,189091
Sulawesi Utara,136876,1383,72057,843874,1054190
Sulawesi Tengah,96717,956,53678,1163869,1315220
Sulawesi Selatan,559426,3987,208427,3908744,4680584
Sulawesi Tenggara,195136,552,42832,818856,1057376
Gorontalo,37948,347,28341,424292,490928
Sulawesi Barat,22980,51,14604,355523,393158
Maluku,25558,472,14307,307277,347614
Maluku Utara,21383,143,13366,291875,326767
Papua Barat,36730,382,18151,321687,376950
Papua,36435,866,25555,430381,493237
Indonesia,17168862,243450,5544173,125305332,148261817
