38 Provinsi,,,
,Persentase Penduduk yang Memiliki/Menguasai Telepon Seluler Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2019,2019,2019
ACEH,69.03,52.3,57.75
SUMATERA UTARA,67.58,52.33,60.66
SUMATERA BARAT,71.27,54.89,62.62
RIAU,74.86,62.15,67.29
JAMBI,75.25,59.69,64.75
SUMATERA SELATAN,71.29,54.37,60.7
BENGKULU,74.85,54.41,61.18
LAMPUNG,71.26,57.21,61.54
KEP. BANGKA BELITUNG,72.93,61.39,67.77
KEP. RIAU,77.71,64.9,76.39
DKI JAKARTA,78.42,-,78.42
JAWA BARAT,69.14,56.84,66.24
JAWA TENGAH,66.04,57.06,61.66
DI YOGYAKARTA,71.71,56.79,67.66
JAWA TIMUR,68.49,54.92,62.16
BANTEN,70.51,51.95,65.21
BALI,74.4,59.1,69.61
NUSA TENGGARA BARAT,62.94,51.61,57.1
NUSA TENGGARA TIMUR,66.91,38.07,45.01
KALIMANTAN BARAT,74.25,50.09,58.57
KALIMANTAN TENGAH,79.82,63.83,70.28
KALIMANTAN SELATAN,78.16,60.73,68.97
KALIMANTAN TIMUR,79.29,71.85,76.88
KALIMANTAN UTARA,79.31,66.52,74.32
SULAWESI UTARA,74.72,60.44,67.9
SULAWESI TENGAH,71.28,51.83,57.68
SULAWESI SELATAN,73.77,58.4,65.07
SULAWESI TENGGARA,72.47,56.33,62.68
GORONTALO,68.18,54.59,60.36
SULAWESI BARAT,62,49.1,52.18
MALUKU,69.93,46.73,56.96
MALUKU UTARA,73.83,45.46,53.69
PAPUA BARAT,76.8,58.95,66.49
PAPUA BARAT DAYA,-,-,-
PAPUA,75.16,24.04,38.5
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,70.51,54.67,63.53
