38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sanitasi Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2011,2011,2011
ACEH,75.8,40.01,50.1
SUMATERA UTARA,72.78,41.64,56.47
SUMATERA BARAT,67.23,30.69,44.67
RIAU,81.94,35.42,53.29
JAMBI,75.16,40.45,50.65
SUMATERA SELATAN,72.43,34.35,47.36
BENGKULU,68.12,26.84,39.22
LAMPUNG,74.43,34.63,44.33
KEP. BANGKA BELITUNG,83.12,52.91,67.64
KEP. RIAU,80.62,36.22,73.01
DKI JAKARTA,87.83,-,87.83
JAWA BARAT,60.84,37.48,52.5
JAWA TENGAH,72.51,48.63,59.42
DI YOGYAKARTA,89.35,66.09,82.15
JAWA TIMUR,71.5,38.92,54.21
BANTEN,81.3,29.09,64.15
BALI,90.73,71.45,83.26
NUSA TENGGARA BARAT,58.08,39.93,47.34
NUSA TENGGARA TIMUR,48.92,17.82,23.82
KALIMANTAN BARAT,77.86,29.89,43.81
KALIMANTAN TENGAH,64.59,18.57,33.72
KALIMANTAN SELATAN,70.7,32.52,48.38
KALIMANTAN TIMUR,82.1,41.27,66.56
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,82.37,54.62,67.23
SULAWESI TENGAH,75.01,40.13,48.39
SULAWESI SELATAN,84.41,49.36,62.02
SULAWESI TENGGARA,84.09,39.4,51.43
GORONTALO,74.16,31.88,46.68
SULAWESI BARAT,72.38,35.33,43.4
MALUKU,72.59,37.27,50.75
MALUKU UTARA,89.47,39.42,52.53
PAPUA BARAT,56.61,32.2,39.23
PAPUA BARAT DAYA,-,-,-
PAPUA,73.36,8.73,24.31
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,72.54,38.97,55.6
