38 Provinsi,
,Persentase Tenaga Kerja Formal Menurut Provinsi (Persen)
,2020
ACEH,38.12
SUMATERA UTARA,40.38
SUMATERA BARAT,33.72
RIAU,44.03
JAMBI,37.26
SUMATERA SELATAN,34.74
BENGKULU,30.77
LAMPUNG,27.74
KEP. BANGKA BELITUNG,47.07
KEP. RIAU,64.59
DKI JAKARTA,61.78
JAWA BARAT,44.41
JAWA TENGAH,37.25
DI YOGYAKARTA,42.59
JAWA TIMUR,36.36
BANTEN,50.83
BALI,43.31
NUSA TENGGARA BARAT,26.53
NUSA TENGGARA TIMUR,23.9
KALIMANTAN BARAT,36.99
KALIMANTAN TENGAH,44.2
KALIMANTAN SELATAN,39.18
KALIMANTAN TIMUR,52.86
KALIMANTAN UTARA,49.07
SULAWESI UTARA,39.54
SULAWESI TENGAH,32.63
SULAWESI SELATAN,35.78
SULAWESI TENGGARA,35.41
GORONTALO,37.88
SULAWESI BARAT,27.37
MALUKU,33.44
MALUKU UTARA,33.87
PAPUA BARAT,42.02
PAPUA BARAT DAYA,-
PAPUA,20.08
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,39.53
