38 Provinsi,,
,[Seri 2010] Produk Domestik Regional Bruto Per Kapita (Ribu Rupiah),
,Harga Berlaku,Harga Konstan 2010
,2015,2015
ACEH,25808.45,22524.31
SUMATERA UTARA,41019.54,31637.41
SUMATERA BARAT,34630.86,27080.76
RIAU,102887.81,70769.78
JAMBI,45580.04,36753.52
SUMATERA SELATAN,41201.28,31549.3
BENGKULU,26845.61,20302.48
LAMPUNG,31153.72,24581.78
KEP. BANGKA BELITUNG,44425.08,33480.38
KEP. RIAU,101148.53,78625.43
DKI JAKARTA,195431.68,142913.61
JAWA BARAT,32648.02,25845.5
JAWA TENGAH,29933.75,23887.06
DI YOGYAKARTA,27571.53,22688.36
JAWA TIMUR,43541.4,34271.81
BANTEN,40091.23,30813.03
BALI,42480.08,31093.61
NUSA TENGGARA BARAT,21851.53,18475.14
NUSA TENGGARA TIMUR,14867.16,11087.91
KALIMANTAN BARAT,30619.33,23456.52
KALIMANTAN TENGAH,40105.06,31619.18
KALIMANTAN SELATAN,34351.69,27786.68
KALIMANTAN TIMUR,147405.43,128603.13
KALIMANTAN UTARA,96150.38,76823.46
SULAWESI UTARA,37786.58,29196.47
SULAWESI TENGAH,37394.89,28778.64
SULAWESI SELATAN,39950.48,29435.92
SULAWESI TENGGARA,35092.25,29202.7
GORONTALO,25143.39,19474.13
SULAWESI BARAT,25728.07,20250.51
MALUKU,20365.6,14740.38
MALUKU UTARA,22917.73,17533.78
PAPUA BARAT,72159.85,60064.13
PAPUA BARAT DAYA,-,-
PAPUA,47726.07,41376.97
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,45119.61,35161.89
