38 Provinsi,,
,[Seri 2010] Produk Domestik Regional Bruto Per Kapita (Ribu Rupiah),
,Harga Berlaku,Harga Konstan 2010
,2020,2020
ACEH,31633.38,25018.28
SUMATERA UTARA,54979.04,36175.16
SUMATERA BARAT,43825.66,30696.21
RIAU,114166.9,76884.74
JAMBI,57957.73,41926.04
SUMATERA SELATAN,53842.74,37323.24
BENGKULU,36552.5,23105.92
LAMPUNG,39290.33,26746.64
KEP. BANGKA BELITUNG,52023.4,36307.61
KEP. RIAU,123464.79,85012.58
DKI JAKARTA,262615.17,170089.02
JAWA BARAT,43236.51,30180.54
JAWA TENGAH,36964.78,26483.68
DI YOGYAKARTA,37693.64,27754.47
JAWA TIMUR,56640.82,39686.19
BANTEN,52729.4,37165.16
BALI,52015.45,34216.52
NUSA TENGGARA BARAT,25183.56,17583.11
NUSA TENGGARA TIMUR,20056.99,12960.95
KALIMANTAN BARAT,39622.24,24953.61
KALIMANTAN TENGAH,57145.08,37148.73
KALIMANTAN SELATAN,44100.79,32212.3
KALIMANTAN TIMUR,161798.85,125764.53
KALIMANTAN UTARA,143533.29,86823.59
SULAWESI UTARA,50521.13,33670.44
SULAWESI TENGAH,66306.27,45052.32
SULAWESI SELATAN,55675.03,36246.26
SULAWESI TENGGARA,49718.15,35708.6
GORONTALO,35693.26,24313.38
SULAWESI BARAT,32836.75,22666.22
MALUKU,25094.36,16688.12
MALUKU UTARA,33069.32,21915.03
PAPUA BARAT,73932.6,54487.7
PAPUA BARAT DAYA,-,-
PAPUA,46416.36,32108.51
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,57154.4,39684.8
