Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Rata-rata Lama Sekolah (Tahun)
,2022
ACEH,9.44
Simeulue,9.73
Aceh Singkil,8.69
Aceh Selatan,8.89
Aceh Tenggara,9.92
Aceh Timur,8.32
Aceh Tengah,9.87
Aceh Barat,9.87
Aceh Besar,10.35
Pidie,9.02
Bireuen,9.31
Aceh Utara,8.73
Aceh Barat Daya,8.68
Gayo Lues,8.41
Aceh Tamiang,9.04
Nagan Raya,8.95
Aceh Jaya,8.72
Bener Meriah,10.01
Pidie Jaya,9.53
Kota Banda Aceh,13.03
Kota Sabang,11.19
Kota Langsa,11.14
Kota Lhokseumawe,11.12
Kota Subulussalam,8.22
SUMATERA UTARA,9.71
Nias,5.88
Mandailing Natal,8.76
Tapanuli Selatan,9.34
Tapanuli Tengah,8.86
Tapanuli Utara,10
Toba Samosir / Toba,10.58
Labuhan Batu,9.4
Asahan,8.82
Simalungun,9.63
Dairi,9.72
Karo,10.02
Deli Serdang,10.27
Langkat,8.68
Nias Selatan,6.23
Humbang Hasundutan,10
Pakpak Bharat,9.39
Samosir,9.46
Serdang Bedagai,8.71
Batu Bara,8.26
Padang Lawas Utara,9.46
Padang Lawas,9.31
Labuhan Batu Selatan,8.92
Labuhan Batu Utara,8.64
Nias Utara,6.78
Nias Barat,6.97
Kota Sibolga,10.43
Kota Tanjung Balai,9.55
Kota Pematang Siantar,11.31
Kota Tebing Tinggi,10.65
Kota Medan,11.5
Kota Binjai,11.18
Kota Padangsidimpuan,11.11
Kota Gunungsitoli,8.64
SUMATERA BARAT,9.18
Kepulauan Mentawai,7.48
Pesisir Selatan,8.43
Solok,7.89
Sijunjung,8.3
Tanah Datar,8.9
Padang Pariaman,8.16
Agam,8.98
Lima Puluh Kota,8.08
Pasaman,8.11
Solok Selatan,8.41
Dharmasraya,8.56
Pasaman Barat,8.55
Kota Padang,11.6
Kota Solok,11.35
Kota Sawah Lunto,10.43
Kota Padang Panjang,11.92
Kota Bukittinggi,11.63
Kota Payakumbuh,10.82
Kota Pariaman,10.78
RIAU,9.22
Kuantan Singingi,8.76
Indragiri Hulu,8.4
Indragiri Hilir,7.26
Pelalawan,8.72
Siak,9.87
Kampar,9.39
Rokan Hulu,8.55
Bengkalis,9.71
Rokan Hilir,8.28
Kepulauan Meranti,7.88
Kota Pekanbaru,11.93
Kota Dumai,10.15
JAMBI,8.68
Kerinci,8.57
Merangin,7.91
Sarolangun,8.12
Batang Hari,8.21
Muaro Jambi,8.59
Tanjung Jabung Timur,7.19
Tanjung Jabung Barat,8.18
Tebo,7.7
Bungo,8.29
Kota Jambi,11.21
Kota Sungai Penuh,10.34
SUMATERA SELATAN,8.37
Ogan Komering Ulu,8.73
Ogan Komering Ilir,7.07
Muara Enim,7.9
Lahat,8.53
Musi Rawas,7.55
Musi Banyuasin,7.65
Banyu Asin,7.45
Ogan Komering Ulu Selatan,7.86
Ogan Komering Ulu Timur,7.8
Ogan Ilir,7.91
Empat Lawang,7.65
Penukal Abab Lematang Ilir,7.06
Musi Rawas Utara,7.26
Kota Palembang,10.91
Kota Prabumulih,10.2
Kota Pagar Alam,9.41
Kota Lubuklinggau,9.91
BENGKULU,8.91
Bengkulu Selatan,9.39
Rejang Lebong,8.55
Bengkulu Utara,8.1
Kaur,8.39
Seluma,8.09
Mukomuko,8.31
Lebong,8.24
Kepahiang,8.3
Bengkulu Tengah,7.49
Kota Bengkulu,11.82
LAMPUNG,8.18
Lampung Barat,8.2
Tanggamus,7.35
Lampung Selatan,7.72
Lampung Timur,8.04
Lampung Tengah,7.64
Lampung Utara,8.35
Way Kanan,7.72
Tulangbawang,7.56
Pesawaran,7.77
Pringsewu,8.4
Mesuji,7.09
Tulang Bawang Barat,7.72
Pesisir Barat,8.53
Kota Bandar Lampung,10.96
Kota Metro,10.98
KEP. BANGKA BELITUNG,8.11
Bangka,8.27
Belitung,8.74
Bangka Barat,7.46
Bangka Tengah,7.22
Bangka Selatan,6.89
Belitung Timur,8.67
Kota Pangkal Pinang,10.27
KEPULAUAN RIAU,10.37
Karimun,8.48
Bintan,8.7
Natuna,8.96
Lingga,7.12
Kepulauan Anambas,7.38
Kota Batam,11.17
Kota Tanjung Pinang,10.49
DKI JAKARTA,11.31
Kep. Seribu,9.02
Kota Jakarta Selatan,11.66
Kota Jakarta Timur,11.73
Kota Jakarta Pusat,11.53
Kota Jakarta Barat,11.13
Kota Jakarta Utara,10.82
JAWA BARAT,8.78
Bogor,8.34
Sukabumi,7.11
Cianjur,7.2
Bandung,9.08
Garut,7.83
