38 Provinsi,
,Realisasi Investasi Penanaman Modal Dalam Negeri Menurut Lokasi - Jumlah Investasi (Milyar Rupiah)
,2013
ACEH,3636.4
SUMATERA UTARA,5068.9
SUMATERA BARAT,677.8
RIAU,4874.3
JAMBI,2799.6
SUMATERA SELATAN,3396
BENGKULU,109.6
LAMPUNG,1325.3
KEP. BANGKA BELITUNG,608.2
KEP. RIAU,417.7
DKI JAKARTA,5754.5
JAWA BARAT,9006.1
JAWA TENGAH,12593.6
DI YOGYAKARTA,283.8
JAWA TIMUR,34848.9
BANTEN,4008.7
BALI,2984.7
NUSA TENGGARA BARAT,1398
NUSA TENGGARA TIMUR,17.6
KALIMANTAN BARAT,2522.1
KALIMANTAN TENGAH,1835.3
KALIMANTAN SELATAN,8299.2
KALIMANTAN TIMUR,16034.6
KALIMANTAN UTARA,22.4
SULAWESI UTARA,66.8
SULAWESI TENGAH,605.3
SULAWESI SELATAN,921
SULAWESI TENGGARA,1261.6
GORONTALO,84.4
SULAWESI BARAT,685.1
MALUKU,-
MALUKU UTARA,1114.9
PAPUA BARAT,304
PAPUA BARAT DAYA,-
PAPUA,584.3
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,128150.6
