Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Aceh,5.48,6.17,66.26,63.13
Sumatera Utara,5.57,5.39,74.72,70.37
Sumatera Barat,5.38,5.38,70.62,67.88
Riau,5.36,5.76,68.32,64.94
Jambi,3.52,4.06,67.41,65.79
Sumatera Selatan,4.02,4.53,71.21,67.67
Bengkulu,2.41,3.26,72.4,70.09
Lampung,3.95,4.03,72.09,69.06
Kepulauan Bangka Belitung,3.32,3.58,67.53,67.1
Kepulauan Riau,7.02,7.5,67.91,64.69
DKI Jakarta,5.5,6.54,67.64,63.9
Jawa Barat,7.78,8.04,65.61,64.99
Jawa Tengah,4.19,4.44,70.45,68.85
DI Yogyakarta,2.89,3.18,72.92,72.72
Jawa Timur,3.77,3.82,70.2,69.61
Banten,7.55,8.11,65.49,63.83
Bali,1.22,1.57,76.47,73.77
Nusa Tenggara Barat,3.15,3.28,70.37,69.47
Nusa Tenggara Timur,2.98,3.14,72.59,70.34
Kalimantan Barat,4.06,4.35,71.69,68.51
Kalimantan Tengah,3.21,4.04,71.94,69.29
Kalimantan Selatan,3.41,4.18,73.6,68.77
Kalimantan Timur,6.65,5.94,70.12,65.96
Kalimantan Utara,5.84,4.49,68.37,65.59
Sulawesi Utara,5.17,6.01,63.7,63.94
Sulawesi Tengah,3.46,3.11,71.2,67.8
Sulawesi Selatan,5.1,4.62,66.27,63.8
Sulawesi Tenggara,2.88,3.52,71.87,69.11
Gorontalo,3.25,3.76,72.96,67.38
Sulawesi Barat,1.29,2.98,71.44,69.89
Maluku,6.61,6.69,64.19,63.97
Maluku Utara,4.96,4.81,65.25,65.05
Papua Barat,5.81,6.43,67.52,67.71
Papua,3.22,3.51,75.98,76.93
Indonesia,4.98,5.23,69.37,67.53
