Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Aceh,5.4,6.59,66.32,65.1
Sumatera Utara,4.71,6.91,72.17,68.67
Sumatera Barat,5.25,6.88,72.75,69.01
Riau,4.92,6.32,66.99,65.24
Jambi,4.26,5.13,67.28,67.79
Sumatera Selatan,3.9,5.51,69.93,68.65
Bengkulu,3.08,4.07,73.94,71.73
Lampung,4.26,4.67,71.59,70.16
Kepulauan Bangka Belitung,3.35,5.25,69.31,66.89
Kepulauan Riau,5.98,10.34,67.23,66.28
DKI Jakarta,5.15,10.95,66.97,63.81
Jawa Barat,7.71,10.46,65.89,64.53
Jawa Tengah,4.2,6.48,70.45,69.43
DI Yogyakarta,3.38,4.57,70.79,71.12
Jawa Timur,3.6,5.84,71.36,70.33
Banten,7.99,10.64,63.87,64.48
Bali,1.25,5.63,77.03,74.32
Nusa Tenggara Barat,3.04,4.22,69.54,70.45
Nusa Tenggara Timur,2.64,4.28,73.91,73.11
Kalimantan Barat,4.47,5.81,70.46,68.83
Kalimantan Tengah,3.33,4.58,70.89,68.4
Kalimantan Selatan,3.67,4.74,72.49,69.33
Kalimantan Timur,6.72,6.87,71.79,65.5
Kalimantan Utara,5.71,4.97,68.1,66.51
Sulawesi Utara,5.34,7.37,64.49,63.42
Sulawesi Tengah,2.93,3.77,71.28,69.44
Sulawesi Selatan,5.7,6.31,65.4,63.4
Sulawesi Tenggara,3.1,4.58,71.24,69.83
Gorontalo,3.29,4.28,67.4,66.46
Sulawesi Barat,2.39,3.32,70.37,70.19
Maluku,6.71,7.57,61.85,65.07
Maluku Utara,4.09,5.15,64.42,64.28
Papua Barat,6.78,6.8,69.11,69.55
Papua,3.42,4.28,75.01,72.16
Indonesia,4.94,7.07,69.21,67.77
