Provinsi di Indonesia,
,Upah Minimum Provinsi (UMP) per Bulan Menurut Provinsi di Indonesia (rupiah)
,2026
11 Aceh,3932552
12 Sumatera Utara,3228949
13 Sumatera Barat,3182955
14 Riau,3780495
15 Jambi,3471497
16 Sumatera Selatan,3942963
17 Bengkulu,2827250
18 Lampung,3047734
19 Kepulauan Bangka Belitung,4035000
21 Kepulauan Riau,3879520
31 DKI Jakarta,5729876
32 Jawa Barat,2317601
33 Jawa Tengah,2327386
34 DI Yogyakarta,2417495
35 Jawa Timur,2446880
36 Banten,3100881
51 Bali,3207459
52 Nusa Tenggara Barat,2673861
53 Nusa Tenggara Timur,2455898
61 Kalimantan Barat,3054552
62 Kalimantan Tengah,3686138
63 Kalimantan Selatan,3725000
64 Kalimantan Timur,3762431
65 Kalimantan Utara,3775243
71 Sulawesi Utara,4002630
72 Sulawesi Tengah,3179565
73 Sulawesi Selatan,3921088
74 Sulawesi Tenggara,3306496
75 Gorontalo,3405144
76 Sulawesi Barat,3315934
81 Maluku,3334490
82 Maluku Utara,3510240
91 Papua Barat,3841000
92 Papua Barat Daya,3766000
94 Papua,4436283
95 Papua Selatan,4508100
96 Papua Tengah,4285848
97 Papua Pegunungan,4508714
