Provinsi,Tahun,Pengeluaran_Makanan,Pengeluaran_Bukan_Makanan,Total_Pengeluaran,UMP,TPT,TPAK,PDRB_HargaBerlaku,PDRB_HargaKonstan,Pct_Penduduk_Miskin,Inflasi_Rata_Tahunan,Gini_Rasio,IPM,Garis_Kemiskinan,Jumlah_Penduduk,Pct_Populasi,Kepadatan_Penduduk,Rasio_Jenis_Kelamin,Laju_Pertumbuhan_Penduduk,Pct_Akses_Air_Bersih,Protein_gram_per_hari,Kalori_kkal_per_hari,Inflasi_WB_Annual,GDP_PerCapita_PPP,Pct_Unemployment_WB,Poverty_Headcount_Pct,Indeks_Kedalaman_Kemiskinan,Total_Kendaraan,NTP,Pct_Kepemilikan_HP,Pct_Sanitasi_Layak,Pct_Pekerja_Formal,Rerata_Lama_Sekolah,Realisasi_Investasi_PMDN
Aceh,2021,643591.4,494227.92,1137819.32,3165031.0,6.3,64.46,34673.56,25356.45,15.33,0.155,0.3235,72.18,553270.25,5274.9,1.96,92.0,100.8,1.49,88.79,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,2.9050000000000002,2426809.0,101.1925,61.2,77.55,39.31,9.37,7904.7
Bali,2021,628472.06,840152.05,1468624.11,2494000.0,5.395,73.625,50758.32,33123.79,4.53,0.155,0.3765,75.69,447277.5,4317.4,1.6,755.0,101.1,1.4,97.56,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,0.72,4626094.0,92.84166666666665,71.65,95.95,42.9,9.06,6355.2
Banten,2021,744893.26,766363.4,1511256.67,2460997.0,8.995,64.035,55383.29,38339.42,6.66,0.155,0.364,72.72,524712.25,11904.6,4.42,1248.0,103.9,1.76,93.51,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.145,2704601.0,98.44833333333332,68.2,82.89,51.13,8.93,25989.5
Bengkulu,2021,580273.31,558299.08,1138572.4,2215000.0,3.685,70.745,39167.13,23545.64,15.22,0.155,0.3235,71.64,575415.25,2010.7,0.75,102.0,104.7,1.48,67.39,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,2.51,1083123.0,132.5608333333333,64.34,79.81,31.84,8.87,4923.5
DI Yogyakarta,2021,594622.24,823248.11,1417870.35,1765000.0,4.42,73.165,40516.0,29115.86,12.8,0.155,0.4385,80.22,469253.0,3668.7,1.36,1185.0,98.1,1.61,95.69,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,2.24,3112170.0,97.3825,69.81,97.12,44.64,,2761.3
DKI Jakarta,2021,923932.8,1412496.63,2336429.43,4416187.0,8.505,63.875,274659.62,175004.64,4.72,0.155,0.41,81.11,706345.0,10562.1,3.89,15978.0,101.7,0.6,99.86,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,0.6950000000000001,21911811.0,100.97250000000001,81.83,95.17,61.74,11.17,54708.2
Gorontalo,2021,529729.27,616060.84,1145790.12,2788826.0,3.21,66.655,37086.76,24594.17,15.61,0.155,0.4085,69.0,394648.25,1171.7,0.43,105.0,101.8,1.06,94.57,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,2.895,459799.0,102.76499999999999,64.64,78.58,37.61,7.9,1004.3
Jambi,2021,613752.76,566507.0,1180259.76,2630162.0,4.925,67.235,64770.93,42898.41,8.09,0.155,0.318,71.63,532922.5,3548.2,1.31,72.0,104.0,1.39,79.7,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.19,2441636.0,126.88083333333333,67.32,80.36,37.99,8.6,6204.2
Jawa Barat,2021,677382.61,695276.49,1372659.1,1810351.0,9.37,64.89,45234.18,30935.23,8.4,0.155,0.40900000000000003,72.45,430568.0,48274.2,17.89,1379.0,103.1,1.41,93.24,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.38,17600134.0,97.83833333333332,67.83,71.66,45.39,8.61,59948.5
Jawa Tengah,2021,519009.15,529599.86,1048609.0,1798979.0,5.955,69.48,38568.08,27092.91,11.79,0.155,0.37,72.16,416031.75,36516.0,13.47,1120.0,101.1,0.83,93.62,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.9249999999999998,19534880.0,100.36500000000001,62.76,83.28,39.62,7.75,31311.2
Jawa Timur,2021,557790.8,555211.15,1113001.95,1868777.0,5.455,69.875,59988.44,40779.82,11.4,0.155,0.369,72.14,436008.75,40665.7,14.99,855.0,99.6,0.7,95.02,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.71,23605425.0,100.01333333333334,62.99,80.97,37.36,7.88,52552.2
Kalimantan Barat,2021,603291.38,559766.88,1163058.26,2399699.0,5.775,69.415,42252.66,25793.51,7.15,0.155,0.314,67.9,501930.25,5414.4,2.01,37.0,105.7,1.39,78.76,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.025,2903952.0,128.63,62.39,78.39,39.13,7.45,10773.4
Kalimantan Selatan,2021,701228.0,682572.4,1383800.41,2877449.0,4.64,69.17,48065.95,32894.85,4.83,0.155,0.3275,71.28,522736.5,4073.6,1.51,106.0,102.5,1.61,76.4,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,0.6100000000000001,2881340.0,107.58333333333331,69.49,81.43,40.37,8.34,11003.9
Kalimantan Tengah,2021,713144.53,682681.29,1395825.82,2903145.0,4.39,69.055,62833.77,37955.03,5.16,0.155,0.3215,71.25,511396.0,2670.0,0.99,18.0,107.8,1.61,77.05,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,0.73,1468055.0,118.48166666666667,71.62,73.77,44.5,8.64,6359.8
Kalimantan Timur,2021,736465.16,982145.65,1718610.81,2981379.0,6.82,66.475,183157.52,127368.07,6.54,0.155,0.3325,76.88,692314.0,3766.0,1.4,30.0,108.4,1.5,85.8,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.13,3192026.0,120.915,81.1,89.77,53.51,9.84,30297.4
Kalimantan Utara,2021,742833.93,811875.93,1554709.86,3000804.0,4.625,66.205,157091.68,88973.51,7.36,0.155,0.2885,71.19,712913.0,701.8,0.26,9.0,111.6,2.25,86.8,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,0.88,166268.0,105.85083333333334,76.02,79.8,49.26,9.11,3792.5
Kepulauan Bangka Belitung,2021,783203.97,748970.15,1532174.12,3230024.0,5.035,66.935,58406.07,37620.69,4.9,0.155,0.2515,71.69,762815.5,1455.7,0.54,90.0,105.9,1.6,73.4,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,0.585,1099327.0,125.65166666666669,68.22,92.24,49.07,8.08,3677.4
Kepulauan Riau,2021,828206.18,1027089.42,1855295.6,3005460.0,10.015,67.33,131883.84,86584.63,6.12,0.155,0.341,75.79,635416.0,2064.6,0.78,258.0,104.2,3.48,90.83,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.01,1069632.0,104.37333333333332,80.51,91.62,64.8,10.18,9768.7
Lampung,2021,539963.55,490615.03,1030578.58,2432002.0,4.615,70.54,40806.71,27149.57,12.62,0.155,0.3185,69.9,493816.25,9007.8,3.33,262.0,105.0,1.1,80.2,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.865,3798383.0,101.22250000000001,63.83,83.89,28.69,8.08,10513.2
